Campaign,Campaign type,Status,Budget,Bid strategy type,Target CPA,Networks,Languages,Location,Start date,End date,Ad rotation,Campaign subtype,Labels,Customer conversion goals,Device bid adjustment (mobile)
Search_CanGiuoc_LionCamp2026,Search,Enabled,"200,000",Maximize conversions,,Google search;Search partners,Vietnamese,"Cần Giuộc, Long An, Vietnam",2026-04-18,2026-06-15,Optimize for conversions,,CanGiuoc;Local;Tinh,Form_Submit;Zalo_Click;Book_Tour,15%
Search_RachGia_LionCamp2026,Search,Enabled,"200,000",Maximize conversions,,Google search;Search partners,Vietnamese,"Rạch Giá, Kiên Giang, Vietnam",2026-04-18,2026-06-15,Optimize for conversions,,RachGia;Local;Tinh,Form_Submit;Zalo_Click;Book_Tour,15%
