Campaign,Ad group,Status,Max CPC,Target CPA,Default URL,Labels,Ad group type
Search_CanGiuoc_LionCamp2026,CG_TH_Phrase,Enabled,"8,000",,https://truongvietanh.com/sales-tinh-can-giuoc,CanGiuoc;TH;Phrase,Standard
Search_CanGiuoc_LionCamp2026,CG_TH_Exact,Enabled,"10,000",,https://truongvietanh.com/sales-tinh-can-giuoc,CanGiuoc;TH;Exact,Standard
Search_CanGiuoc_LionCamp2026,CG_Brand_Local,Enabled,"5,000",,https://truongvietanh.com/sales-tinh-can-giuoc,CanGiuoc;Brand,Standard
Search_RachGia_LionCamp2026,RG_TH_Phrase,Enabled,"8,000",,https://truongvietanh.com/sales-tinh-rach-gia,RachGia;TH;Phrase,Standard
Search_RachGia_LionCamp2026,RG_TH_Exact,Enabled,"10,000",,https://truongvietanh.com/sales-tinh-rach-gia,RachGia;TH;Exact,Standard
Search_RachGia_LionCamp2026,RG_Brand_Local,Enabled,"5,000",,https://truongvietanh.com/sales-tinh-rach-gia,RachGia;Brand,Standard
