old_url,redirect_to,status_code,reason
/du-hoc-tai-cho-khi-hoc-tai-truong-quoc-te-ngay-25-thang-06-nam-2018/,/blog/du-hoc-sau-thpt,301,Past event - consolidated
/full-hd-clip-be-giang-truong-thcs-thpt-viet-anh-19-05-2013/,/thcs,301,Legacy content merged into pillar page
/full-hd-clip-tri-an-truong-thcs-thpt-viet-anh-19-05-2013/,/thcs,301,Legacy content merged into pillar page
/full-hd-ngoi-truong-dau-yeu-lop-6a/,/,301,Legacy content merged into pillar page
/giai-the-thao-hoc-sinh-quan-binh-tan-mon-boi-loi-nam-2016-2017-ngay-20-thang-02-nam-2017/,/,301,Past event - consolidated
/giao-duc-pho-thong-viet-nam-co-dat-nuoi-duong-oc-sang-tao-ngay-07-thang-07-nam-2018/,/blog/cach-chon-truong-mam-non-cho-con,301,Past event - consolidated
/goi-y-giai-de-thi-tot-nghiep-thpt-mon-ngu-van-2014/,/thpt,301,Outdated content - consolidated
/hd-clip-cam-nghi-cua-hs-mung-ngay-ngvn-truong-viet-anh-2/,/,301,Legacy content merged into pillar page
/he-den-roi-dua-nhau-di-tron-dau-day-voi-cai-thoi-tiet-day-oi-buc-va-khoi-bui-cua-sai-gon-nhi-ngay-21-thang-04-nam-2018/,/,301,Past event - consolidated
/hoc-cong-lap-khong-con-la-lua-chon-tot-nhat-ngay-21-thang-06-nam-2018/,/,301,Past event - consolidated
/hoc-la-chinh-vui-cung-la-chinh%ef%b8%8f-ngay-19-thang-05-nam-2018/,/,301,Past event - consolidated
/hoc-noi-tru-loi-ich-the-nao-va-noi-tru-truong-quoc-te-co-gi-khac-biet-ngay-25-thang-06-nam-2018/,/,301,Past event - consolidated
/hoc-sinh-truong-quoc-te-viet-anh-hoc-tieng-anh-the-nao-ngay-28-thang-06-nam-2018/,/blog/10-bi-quyet-hoc-tieng-anh-hieu-qua,301,Past event - consolidated
/hoc-sinh-truong-thcs-thpt-viet-anh-da-chinh-phuc-2-giai-thuong-duoc-to-chuc-boi-bo-gddt-ngay-14-thang-04-nam-2017/,/thcs,301,Past event - consolidated
/hoc-sinh-truong-thcs-va-thpt-viet-anh-da-trai-nghiem-mot-chuyen-du-lich-da-ngoai-den-dat-nuoc-thai-lan-ngay-11-thang-05-nam-2017/,/thcs,301,Past event - consolidated
/hoc-sinh-truong-thcs-va-thpt-viet-anh-dat-huy-chuong-dong-cuoc-thi-olympic-vat-ly-2017-ngay-21-thang-04-nam-2017/,/thcs,301,Past event - consolidated
/hoc-sinh-truong-thsc-va-thpt-viet-anh-tham-gia-cuoc-thi-anh-khoanh-khac-thay-tro-de-chao-mung-ngay-nha-giao-viet-nam-20-11-ngay-02-thang-11-nam-2017/,/thpt,301,Past event - consolidated
/hoc-sinh-truong-viet-anh-da-xuat-sac-gianh-giai-ba-mon-tieng-anh-ki-thi-hoc-sinh-gioi-cap-thanh-pho-2017-ngay-28-thang-03-nam-2017/,/blog/10-bi-quyet-hoc-tieng-anh-hieu-qua,301,Past event - consolidated
/hoc-sinh-viet-anh-tai-duc-ven-toan-ngay-04-thang-04-nam-2018/,/,301,Past event - consolidated
/hoc-truong-quoc-te-hay-nen-ra-quoc-te-hoc-ngay-04-thang-07-nam-2018/,/,301,Past event - consolidated
