url,status_code,depth,title,title_length,meta_description,meta_description_length,h1,canonical_url,canonical_matches_url,lang,viewport_present,robots,word_count,size_kb,response_ms,internal_links,external_links,image_count,images_without_alt,has_og_tags,has_twitter_tags,has_json_ld,issue_count,issues,crawled_at
https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,200,0,10 cách xây dựng thương hiệu cá nhân - Trường TH THCS THPT Việt Anh,67,,0,10 cách xây dựng thương hiệu cá nhân,https://truongvietanh.com/10-cach-xay-dung-thuong-hieu-ca-nhan/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1894,106.9,1113.9,75,22,20,14,TRUE,TRUE,TRUE,4,Images Without Alt Text | Moderate Response Time | Missing Meta Description | Title Too Long,2026-03-22 02:38:25
https://truongvietanh.com/10-dai-hoc-dao-tao-tai-chinh-tot-nhat-the-gioi/,200,0,10 đại học đào tạo tài chính tốt nhất thế giới - Trường TH THCS THPT Việt Anh,77,,0,10 đại học đào tạo tài chính tốt nhất thế giới,https://truongvietanh.com/10-dai-hoc-dao-tao-tai-chinh-tot-nhat-the-gioi/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1054,97.7,745.7,76,21,20,14,TRUE,TRUE,TRUE,3,Images Without Alt Text | Missing Meta Description | Title Too Long,2026-03-22 02:38:11
https://truongvietanh.com/10-dai-hoc-hang-dau-chau-a/,200,0,10 đại học hàng đầu châu Á - Trường TH THCS THPT Việt Anh,57,,0,10 đại học hàng đầu châu Á,https://truongvietanh.com/10-dai-hoc-hang-dau-chau-a/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1437,104.2,1615.9,76,21,20,14,TRUE,TRUE,TRUE,3,Images Without Alt Text | Moderate Response Time | Missing Meta Description,2026-03-22 02:38:53
https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,200,0,10 đại học Mỹ có chương trình thực tập hấp dẫn - Trường TH THCS THPT Việt Anh,77,,0,10 đại học Mỹ có chương trình thực tập hấp dẫn,https://truongvietanh.com/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1427,105.0,1671.2,76,21,20,14,TRUE,TRUE,TRUE,4,Images Without Alt Text | Moderate Response Time | Missing Meta Description | Title Too Long,2026-03-22 02:38:11
https://truongvietanh.com/10-dieu-can-biet-khi-du-hoc-nga/,200,0,10 ĐIỀU CẦN BIẾT KHI DU HỌC NGA,31,"Du học Nga theo chia sẽ của một cựu học sinh trường Việt Anh. Được ra nước ngoài để du học là điều mong ước của nhiều bạn trẻ. Tuy nhiên, con đường học tập có nhiều chông gai, chướng ngại tâm lý, tình cảm phải vượt qua, nhất là những người lần đầu tiên xa nhà du học…",267,10 ĐIỀU CẦN BIẾT KHI DU HỌC NGA,https://truongvietanh.com/10-dieu-can-biet-khi-du-hoc-nga/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1985,107.1,1465.9,76,22,20,14,TRUE,TRUE,TRUE,3,Images Without Alt Text | Moderate Response Time | Meta Description Too Long,2026-03-22 02:37:14
https://truongvietanh.com/10-dieu-can-luu-y-khi-du-hoc-tai-anh/,200,0,10 điều cần lưu ý khi du học tại Anh,36,"Du học Anh Quốc với môi trường mới, đất nước mới, con người mới... Bạn sẽ ra sao với những ngày đầu du học tại Anh. Trường Việt Anh xin chia sẻ 10 điều mà học sinh sinh viên Việt Nam cần lưu ý khi du học tại Anh, các bạn cần lưu ý nhé!",235,10 điều cần lưu ý khi du học tại Anh,https://truongvietanh.com/10-dieu-can-luu-y-khi-du-hoc-tai-anh/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",2079,102.9,612.9,76,23,20,14,TRUE,TRUE,TRUE,2,Images Without Alt Text | Meta Description Too Long,2026-03-22 02:37:55
https://truongvietanh.com/10-dieu-quan-trong-khi-xin-visa-du-hoc-my/,200,0,10 ĐIỀU QUAN TRỌNG KHI XIN VISA DU HỌC MỸ,41,"Du học Mỹ không phải là điều dễ dàng, bạn cần phải có kế hoạch học tập rõ ràng cũng như có sự chuẩn bị kỹ lưỡng các hồ sơ, giấy tờ cần thiết mới đảm bảo khả năng đậu Visa cao nhất. Cùng trường Việt Anh tìm hiểu kỹ hơn nhé!",222,10 ĐIỀU QUAN TRỌNG KHI XIN VISA DU HỌC MỸ,https://truongvietanh.com/10-dieu-quan-trong-khi-xin-visa-du-hoc-my/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1864,102.4,1799.9,76,23,20,14,TRUE,TRUE,TRUE,3,Images Without Alt Text | Moderate Response Time | Meta Description Too Long,2026-03-22 02:37:28
https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,200,0,10 điều thú vị về Đại học Harvard - Trường TH THCS THPT Việt Anh,64,,0,10 điều thú vị về Đại học Harvard,https://truongvietanh.com/10-dieu-thu-vi-ve-dai-hoc-harvard/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",986,96.7,1486.7,76,21,20,14,TRUE,TRUE,TRUE,4,Images Without Alt Text | Moderate Response Time | Missing Meta Description | Title Too Long,2026-03-22 02:38:40
https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,200,0,10 điều thú vị về giáo dục đại học ở Trung Quốc - Trường TH THCS THPT Việt Anh,78,,0,10 điều thú vị về giáo dục đại học ở Trung Quốc,https://truongvietanh.com/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1317,100.3,2014.9,76,22,20,14,TRUE,TRUE,TRUE,4,Images Without Alt Text | Moderate Response Time | Missing Meta Description | Title Too Long,2026-03-22 02:38:40
https://truongvietanh.com/10-hoc-bong-hang-dau-the-gioi-cho-du-hoc-sinh/,200,0,10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH,45,Trường Việt Anh xin chia sẽ top 10 học bổng dành cho các sinh viên quốc tế có thành tích học tập xuất sắc đến từ bất kì đâu trên thế giới. Danh sách này bao gồm 6 học bổng của các chính phủ cũng như những học bổng có tiếng của các trường Đại học uy tín.,253,10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH,https://truongvietanh.com/10-hoc-bong-hang-dau-the-gioi-cho-du-hoc-sinh/,True,vi,TRUE,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1713,105.4,705.8,76,22,20,14,TRUE,TRUE,TRUE,2,Images Without Alt Text | Meta Description Too Long,2026-03-22 02:37:28
